ID,Target
ID_AJLYXZ,Mberi kwemba kune french dhoo ine mabhara machena uye mahwindo arikuoneka. Mukati mune masofa eorenji nemeti iripadhoo yekaki ine zvitema. Panze pefurenchidho pane mataira ari pasi.
ID_AJXJQK,Awa ezali buku oyo ba komi jebukinetomoni ba komi evenement seigneur desanoa yango wana ba komi baza kolokisa biso awa soko okoti na kati okotanga okoyeba biloko nini ba zali koloba na kati kuna ngo.
ID_AKEEIU,"Munhukadzi akagadzira kumeso kwake, akadhirowa tsiyo dzake akapenda muromo munzeve dzake muna mhete dzakarembera musoro wakarukwa namabhureidzi akasungwa padivi napadivi."
ID_AKEKCT,Awa na moni eza na kati ya bilanga liboso na ngai nazo mona mbuma moko ya kitoko pe ya elengi mingi.
ID_ALYEKY,Rokesheni rune dzimba dzakawanda. Pane iri padivi ine denga rine mataira matema. Pamberi payo pane motokari chena imwe ine denga rine marata egirini. Parutivi pedzimba pane marambi emumugwagwa.
ID_AMCCBI,Simbi inodaidzwa kuti shoko iyo inoshandiswa pamotokari yakagadzirwa nesimbi inoita basa rekuti motikari isanzwika mabhambi kana ichifamba.
ID_ANCBYL,Kisi ya bokoko eza kisi ya bokoko.
ID_ANEMZF,Moto aza na makolo azotambola na nzela liboso na ye nzete ebende ezali na nsima na ye motuka moko pe etelemi alati ba sapato ya pembe na likolo alati elamba eza na ba langi mingi.
ID_ANHQMY,Esika na komi awa nazo mona eza pembeni ya balabala na balabala yango nazo mona ba mituka ba mituka ya ndenge na ndenge na moni koza ba mituka mibale ya moke ya ba voiture eza langi ya vere epui pembeni na ngo na moni koza camion moko ya pembe ya carosserie ya ble vrema liboso na ngo na moni pe koamwa ndako moko ya etage ya kitoko ndako ya monene.
ID_ANZHBV,Bilenge mibali ya mibale ba zali bongo kobunda ba zali bongo bato ya ndembo oyo babetanaka makofi ndembo na bango ezali ya kobunda na bamakofi.
ID_AOHRVC,Awa nazo mona liboso na ngai mwana mwasi atelemi kitoko bauti kobongisa ye suki na kati ya salon de quafire.
ID_AORESO,Awa nazo mona basi bana basi misatu eza neti oyo mwasi na katikati nde mama na bango bao mibale baza bana na ye ba kangi bango pe suki ya meshe ya kitoko baza basi kitoko na mama na bango.
ID_ARBIRT,Awa na moni ba lakisi biso mwa lipapa ya jaune yakonzuluka na moni eza lipapa oyo ya bana mibali ba tiango na se na kati ya ndako.
ID_ARHAXW,Awa nazo mona ambalage ya kisi eza na kisi na kati kasi kisi yango eyebani te soki pe ebikisaka malade nini na yebi te.
ID_ARVDNP,Foto elakisi biso mwa loboko esimbi mwa kisi kisi oyo eza kisi ya kitoko kisi oyo ebomaka ba mwa nyama oyo ezalaka na libumu ya bato oyo etindaka bato babeli na mwa libumu pe bayoki pasikioyo ya kombo na ngo na kilo ezalaka makasi.
ID_ASBDUP,Eloko na zali komona awa na zali komona na milangi mibale to misatu na zali milangi ya ba fruit koki kozala ya ba fruit pana na zali komona na molangi moko badesinaki anana ekoki kozala molangi ba jus ya fruit ya ananas.
ID_ASIPKU,Camion eza na kati ya wenze elingi koniata biloko na se camion eza na kati ya wenze to moni bato baza na kati ya wenze camion eza koleka na kati ya wenze.
ID_ATIDGP,Kapuka kasiri kunyatsooneka kumashure kwacho. Kapuka kacho kane ruvara rwegirini makumbo maviri arikuoneka matete asi ane zvekubatira. Kumberi panewo kamwe kakada kuita kunge kahuswa kakareba. kane ruvara rutema kakakwira mudenga kachibva pachipuka chacho.
ID_ATIYKD,Na elili oyo ba zali kolakisa biso to moni ezali bongo na kati ya ndako soki nalobi na kati a ndako pona se to moni ba tandi tapi likolo ya tapi yango to moni lokolo ya sapato moko yabandeko mibale.
ID_ATTFDF,Boye kasi nde nazo mona liboso na ngai eza na babwate moko boye babwate yango eza en plastiqe kasi nazo mona eza na langi moko ya mosaka mosusu pe eza na langi ya bozinga boye kasi nazo mona eza na ba langi mosusu ya lilala pe na langi moko ya pondo.
ID_AVMULW,Motuka ya kitoko ya mwindo mpona ba konzi to pe libota.
ID_AWJYKX,Awa na moni tata moko alati kitoko aza na suki ya pembe aza na kati ya ndako bazo solola makambo ya politike.
ID_AYAUMX,Midziyo yekubatanidza mapepa inodanwa nezita rekuti sitepura yakasiyana siyana. Imwe ihombe imwe midiki. Pamuhombe pane une ruvara rutema iri nechekumusoro koita dzidiki dzine mavara machena koita imwe ine ruvara ruchena yoita ruvara rutema nechepamusoro.
ID_AYEGYT,Michero yakatemhwa kubva mumuti ikaunganidzwa. Ine ruvara rwakaita rutsvuku uye imwe yakada kuita sepepuru yakawanda iri pasi ipapo imwe yacho ine tutanda twakabatira pairi tuchiri girini. Michero inodyiwa nevanhu nekuti inobatsira kusimbisa miviri yavo zvekuti kana vazorwara havanetseki kukurumidza kupora.
ID_AYRYPF,Liboso na nga awa nazo komona sapato moko yango eza ya a grie batie yango na likolo ya kitambala moko ya bozenga.
ID_AYSLAJ,Nzvimbo inoitwa zvekubika bika. Pane nyama yakawanda iyo iri kugochwa pamazimbe ayo ane murazvo unoonekera kubva mumasimbi.
ID_BBQWLS,Elili eza liboso na ngai na moni mwa voitire ya kitoko etelemi pe eza na se ya nzete moko ya kitoko na balabala pe na moni motuka mosusu ezotambola ya moindo.
ID_BBUQAC,Mureza une ruvara rwebhuruu Une chiratidzo chiri kuruboshwe kwawo nechekumusoro chine ruvara rutsvuku uye ruchena zvakare. Kurudyi kuri nechekuzasi kune nyeredzi dzine ruvara ruchena.
ID_BCOIMC,"Mishina miviri inoshandiswa nevanoita zvekugadzira magetsi, uyezve padivi pachina pane michina ine tambo inoshandiswa pamwe chete nemimwe michina iripo."
ID_BDLDQK,Vatambo vebhora vakamira munhandare vakapfeka hanzu dzakafanana neshangu mumakumbo avo Vakamira vakatarisa zvichiratidza kuti varikutorwa mupikicha zvekare vari kuimba nziyo yekusimudza mureza wenyika yavo.
ID_BEAXGU,Muti wakanatsokupfumvutira une mashizha akasvibira uyezve unoratidza kuti une mumvuri wakanaka. Muti uyu une mapazi akawandisa.
ID_BEBWRK,"Tsangamidzi yakagadzikwa patafura yakachekwa mapisi, chimwe chidimbu chakasiiwa chakadaro inogona kudyiwa yakadaro kana kuita zvekubikwa."
ID_BHMOUC,Awa bolakisi biso photo oyo bana misatu bazo seka moko amonani te mibale bazo seka.
ID_BMAMTU,Shangu imwe chete yemunhukadzi yekurutivi rweruboshwe yakavhurika ine pekukochekera ine zvitambo ine ruvara rwebhurauni pamusoro nepingi kumativi.
ID_BMRJMV,Likolo ya mesa eza na eleko oyo banakelasi ba salisaka yango eza neti libende libende yango eza na langi ya bozinga esalisaka banakelasi mpona kosalisa ngo na kelasi na bango.
ID_BNABME,Na bilili oyo nali komona ba lakisi nga awa eza sapato moko ya bana basi batie likolo ya mesa sapato oyo eza na ba langi mibale ya motani pe ya mosaka.
ID_BNBXHO,Vana vaviri vari kuratidzwa mufananidzo uyu varikuita sevari kuda kutenga zvinhu pamusika. Vana ava vakapfeka nhumbi dzechikoro uyezve vana ava vakabereka mabhegi emabhuku. Mutengesi ari pamusika uyu akagara pachigubhu cheyero.
ID_BNWLVQ,To moni papa na bana na ye aza kokata mwana na ye suki pembeni na bango eza bana mibale baza kosakana toza komona kuna mosika baza neti bala na piscine.
ID_BNYYWA,Chanete ya kingo na loboko ya wolo.
ID_BODVLJ,Awa na moni eza na bana mibale moko oyo ba telemi liboso ya stade na moni pe eza na ba misusu oyo ba fukami na moni eza bana mibale oyo ba betaka ndembo ya maboko.
ID_BOVFVV,Na bilili oyo nali komona balakisinga eza ba tomate oyo ba kati yango pe ebeli te eza kaka na ba langi ya pondu na kati na moni ba langi ya pembe.
ID_BPMRMX,"Zvuma zviri mukati mechitoro zvakaitwa maputu-maputu. Zvimwe zvine ruvara rweyero, zvimwe zvine ruvara ruchena neruvara rutsvuku neruvara rweyero uyezve nezvimwe zvine ruvara rwepepuro neruvara rwebhuruu."
ID_BQTUGO,Bhatafurai rakamhara pasi rinoratidza kuti rine mavara mavara. Nechekumusoro kwemapapiro aro rinoratidza kuti rine ruvara rutema robva raita ruvara ruchena. Nechemuzasi tichienda kumutumbi rinoratidza kuti rine ruvara rutsvuku. Kumutumbi waro rinoratidza kuti rine mavara machena nemavara matsvuku.
ID_BRLAKJ,Awa ezali lisanga ya ba konzi ezali na reunion akosolola makambo ya mboka.
ID_BRRHVM,Esika to komi awa ba ndeko eza na kati ya balabala na balabala oyo na moni eza mwa motamotuka ya langi ya mai ya pondu epi libanda motuka oyo nazo mona eza mwa mama moko aotekisa ba mikate.
ID_BRZJGE,Mukomana akamira pamberi pechidziro akabata bhachi mumaoko make ane shangu dzekufambisa dzitema uye akapfeka hembe nhema imwe yakanzi naiti.
ID_BSBTOV,Foto eza liboso na ngai na moni mwa bilei likolo ya mesa pe na ba mwa sani ya kitoko biloko oyo eza penza ya bandele oyo na moni eza ba misuni oyo basalaki yango na kati ya blete pe na kati ya bulete oyo na moni batie m make pe kuna amoni ba sani mosusu basalade eza na kati pe na ba mwa kwanga na kati eza kitoko mpenza.
ID_BSCHXE,Liboso na nga na moni mwana mwasi mwana mwasi kitoko ya pembe naloboko na ye na moni asopi o ya ba bengaka na monoko ya poto sac a main alati pantalon ya bozinga na moni batongiye suki na ye malamu asuki na ye eza na ba langi ya motani nde na moni yango liboso na nga.
ID_BUPBKJ,Loboko esimbi nzeta fufu.
ID_BVLOQR,Mapushi aneruvara rwakasiyana runoti yero tema nechena ebhurawuni neekirimu. anopfekwa nevanhukadzi akagadzirwa nemachira pamusoro akasimba.
ID_BVRWJF,"Zvuma zvakapfekedzwa pazvidhori zvitema. Zvuma izvi zvakafanana mhando asi zvinozosiyana ruvara. Zvimwe zvuma zvine ruvara rwebhuruu namavara mavara, Zvimwewo zvuma ndozvine ruvara rweyero namavara mavara, zvimwewo zvine ruvara ruchena namavara mavara."
ID_BVVWIJ,Nzvimbo ine miti uye huswa. Huswa hwacho hauna kunyanya kukura. Huri kuwanikwa kunze kwerusvingo runodzivirira imba. Huswa hwacho hwakatsvukuruka huri kuita sekuti hauna mvura. Mukati mune miti yakakura. miti yacho ine ruvara rwegirini.
ID_BVYDAO,Kasora kanokura kachitambarara. Kanowanzotambarara pamusoro pemvura. Kane mashizha akanakisa akada kuita kakutenderera. Ane ruvara rwegirinhi nemamwe ane ruvara rwakaita kayero.
ID_BWBLLL,Na bilili oyo tozali komona awa liboso na biso tozali komona bango ba sabuni siki to tali makambo ba komi na ba carton yaba sabuni yango ezali bongo oyo motu yoasokesaka yango nzoto.
ID_BYLITH,Muchina wezvinwiwa une zvigaba pamusoro zvegirazi. Mukati mazvo mune zvinwiwa zvakasiyana. Chimwe chine chinwiwa chitsvuku chimwe chinwiwa cheyero.
ID_BZCOAH,Shangu mbiri chena dzakagarana dzine mukati mebhuruu. Pamusoro peshangu pane mabhadhi maviri.
ID_BZZNTU,Nhandare yemutambo yokunzana namasimba kana kuti wetsiva. Mune ruvara rwebhuruu pasi neruvara kaita bhurauni. Mune zvigaro zvine ruvara rweyero rwegirini nerutsvuku. Mune maraiti anopfuta. Pamusoro mune vanhu vakagara nevakamira.
ID_CAEBSB,Liboso na ngayi awa naa komona photo yasapato sapato yango ndenge ezomonana eza na bosoto mingi pe sapato yango ba tia yango likolo ya tapis eza ba carreaux te eza ba tapis.
ID_CBBJNH,Vanhu vatatu varikufamba mumugwagwa unoita seuri mudhorobha. Pavanhu vatatu ava pane vakadzi vaviri nemurume mumwechete. Murume uyu akapfeka mudhebhe mutema uye hembe tsvuku nekepesi. Madzimai akapfeka hembe nhema.
ID_CBWTCL,Awa nazo komona baflaco ya mafuta ya kopakola eza mine yango nyonso eza marque moko dexeril eza mafuta ya kopakola.
ID_CCEJUY,Awa na moni liboso na ngai ba lakisi ngai eza bijouterie esika ba tekaka ba biju nde yango baolakisa biso ba channete na ba grumette bato alataka.
ID_CCJUEN,Ringi dzakapfekedzwa mumaoko maviri emunhukadzi. Rumwe ruoko rweruboshwe runoratidza kuti rwakapfekedzwa maringi maviri akandocheneruka anoratidza kuti ndeesirivheri uye rimwe ringi rakapfekedzwa kuchikumwe chekuruoko rworudyi.
ID_CCMSCC,Motuka oyo eza motuka ba bengaka camion eza camion eza motuka oyo ememaka ba biloko ememaka ba zelo ememaka ba mabanga tango bato bazo tonga balabala tango bato bazo tonga ba ndako mituka oyo nde ememaka ba zelo po bato ba tonga eza na langi ya pembe na ba pine ya langi ya moyindo na pembeni wana eza na langi ya motane.
ID_CDDYTT,Vatambi vemutambo wetsiva vakamira vachiratidza unyanzvi rwavo. havana kupfeka hembe kumusoro kuzasi vakapfeka zvikadubura vese havana shangu.
ID_CDKWBW,Mwanasikana akamira akabata amburera yakavhurika kutsoka. Akapfeka mapatapata eruvara rweyero nebhurugwa pfupi nechekumusoro akapfeka hembe ine mavara mavara anoverengera yero ebhuruu nepingi isina maoko mumusoro make akaruka netambo chena.
ID_CDRINL,Ruoko rwakabata goka nhema yakabatidzwa kuti ipe chaedza murima.
ID_CEHWTB,Motuka ya minene oyo ekumba essence kasi eza na balabala eza motuka moko pembeni eza na balabala.
ID_CFSWOV,"Tafura ine ruvara rutema. Yakawaridzwa zvuma zvemuruoko nendarera dzemuruoko dziri kutengeswa uye dzakawanda. Dzina mavara matsvuku. Mamwe ane ruvara rutema, mamwe ane ruvara ruchena, mamwe ane ruvara rwebhuruu."
ID_CGBLNL,Mukomana akapfeka shangu nhema. akamira pamwe chete nebhurukwa dema. Muhuro make mune chuma uye mumaziso make munemagirazi Kuruoko rwake rweruboshwe kunewo chiringazuva icho chaakatarisa.
ID_CHAYJC,Munhukadzi akarukwa madhiredzi. Madhiredzi aya ane ruvara rwebhurauni Akapfeka nhumbi yekumusoro ine ruvara rwe kirimu uye ruvara rutema.
ID_CHDRNT,Liboso na nga na moni mayi mayi moni pe na mayi wana na moni likolo na yango eza nzela nzela ya mabele pe pe nzela oyo ba bengaka na monoko ya lopoto eza po nde na moni pe na moni ba mituka mingi mituka ya pembe pe mituka ya mwindo na bato mingi pe na ba matiti na penepene na yango.
ID_CIXTAN,Kapuka kadiki kakamhara pasi. Kapuka kacho kakaita senyuchi kane musoro wakakura uyewo kane mapapiro. Kapuka kacho kanogona kubhururuka.
ID_CJZEYO,He na bilili oyo batyeli biso molangi moko liboso na biso soki to tali molangi yango batye yango na se molangi yango na moni ezali bongo na langi ya pembe na langi pe ya bonzinga soki to tali malamu molangi oyo ekozala molangi ya malasi.
ID_CJZHQR,Pachiteshi chamabhazi pane makombi maviri akamira ane mavara akasiyana. Parutivi pawo pane bhaziwo rimwe chete rakamira rinoratidza kumberi kwaro kuchena. Nechemberi kune rimwe bhazi rakamira reyero.
ID_CKQPRT,Vanhu vari pakati pedhorobha vakarongereramo misika yavo pamakadhibhokisi. Vakawaridza jira rine ruvara rwebhuruu. Vamwe vakapfeka mabhibhi ane ruvara rwegirini.
ID_CLCVQW,Eloko nazo mona awa na moni eza obele mama moko boye mama ya kokola vrema totelemi awa liboso na ngai na moni mama yango alati mwa bubu bubu mpenza mwoko ya kitoko atelemi na kati ya ndako na ye.
ID_CLUUGI,Zvipanera zvakaturikwa kumadziro zvine mizera yakasiyana siyana. Zviri pamusoro zvakasvibirira nekucheneruka zviri pazasi zvakasvibira zvose.
ID_CMWEOJ,Munhurume nemunhukadzi ari kufamba padivi pemugwaga vari pasi pechivakwa chiri mudhorobha. Munhurume akapfeka mbatya rine ruvara rwebhuruu nemaoko marefu nebhuruu riri kuzasi rine ruvara rutema. Munhukadzi akapfeka siketi pfupi inosvika pamabva akatakura nebhegi recikadzi.
ID_CNAAPA,Vatambi vebhora vaviri vakamira vachiratidza kuti vagadzirira kutorwa mufananidzo. mumwe mupfupi mumwe murefu zvakare vane bvudzi rakachekererwa zvakanaka kwazvo.
ID_CNEWVO,Mafuta ya kopakola ya bana.
ID_CNHGQK,Esika bana ba vandi awa na moni eza neti baza na classe na moni bazo koma na kati ya cahier bango nyonso ba lati ba elamba ya classe ba bengaka uniforme.
ID_CNMTHU,Vanhu vakagara vari kutengesa mbatatisi. Mai vakapfeka zvichena Ane dhuku rine ruvara ruchena. Pane mbatatisi dzavarikutengesa mirwi nemirwi. Pamberi pane murume arikufamba zvekare arikuratidza kui arikuvaga mbatatisi idzi. Kumberi kune vakawanda varikuuya varikutsvaga zvekutenga uye pane mukomana ane chingoro akamirira vanhu vanotenga mbatatisi kuti agovabatsira kuvaisira mungoro achivaperekedza kuenda kwavanoda kunokwirira mabhazi.
ID_COIPSP,Vatambi venhabvu vari munhandare ekutambira nhabvu vari vana vechikuru.
ID_COKZFV,Mbudzi mbiri dzakamira imwe iri hombe inemwunga dzakatarisa kumusoro. Nechekumusana ine ruvara ruchena kumberi ine ruvara rwemambava akatsvuka. Chimwana chayo chiri pazasi chine ruvara rwakafanana namai kasi hachina mwanga.
ID_COUUAA,"Zvigaro zvekugarira zvisina cwekuzembera, izvo zvakagadzirwa nemapuranga uye zvine zvigariro zvazvo zvipfumbu zvakagadzirwa nepurasitiki."
ID_CQDCXT,Mombe ine musoro une ruvara rwebhurauni nepamuromo patema. Mombe iyi ine nyanga dzakaenda kumativi iri kuratidza kuti iri kutsenga nekuburitsa mazino akaenda padivi ine kahuswa pamuromo zvekare.
ID_CSUPIY,Nzvimbo ina maruva emhando dzakasiyana siyana ayo akaisirwa mavhu muzvipepa zvitema. Nzvimbo iyi ingangova inotengeswa maruva.
ID_CTDWOV,Motokari hombe yerori regonyeti yakatakura mabhero ekotoni mukati. Motokari dzinoshandiswa kutakura zvinorema uye zvinhu zvizhinji zvakadai se mabhero iwaya kubva kuminda kuenda kunzvimbo dzekunotengesera donje.
ID_CUDWBK,Munhukadzi akachena akapfeka hembe ine ruvara ruchena runotsvedzerera muhuro make Akapfeka mhete. musoro wakagadzirwa zvinonwisa mvura. Mumaoko mune mhete muzvigunwe mune mhetewo zvakare.
ID_CUHHNH,Ona kati ya ndako esika ba bongisi yango bien pona koyamba bapaya pona kofanda ya mosalo esika ya kopena.
ID_CUNQQV,Chipuka chakamhara pamusoro pematombo chinoratidza kunge gwavava. Rine makumbo mana okufambisa nemuswe wakareba uye rine musoro wakandotsvukuruka nemuviri uri muruvara rwakasvibiruka nemuswe wakatsvukuruka zvakafanana nemusoro. Rinoratidza kuti riri kudziya mushana. riri pamusoro pematombo akakombwa nebundo rakasvibira.
ID_CUPYSP,Na esika oyo nazo mona ba nkumu bazo signe na ba buku ya leta pe to moni eza batu misatu mibali mibale na ndeko mwasi moko.
ID_CURVSX,Na elili oyo nazo mona esika bazo lakisa biso mutu asimbi ndambo ya elei ba bengi chu.
ID_CUSTOO,"Mhete idzi dzakasiyana siyana uye nengetani dzekuisa muhuro dzezegoridhe. dzimwe dzidiki, dzimwe dzihombe dzimwe dzine mavara akasiyana. dzakaiswa patafura yebhureki dzakawanda."
ID_CUXBJJ,Ruoko rwemunhu rwakapfeka bhuresiketi nechuma dzine ruvara rwesirivha rwepepuro nerwe bhuruu. Pane maruva ari kuwonekwa esimbi ane ruvara rwebhuruu nerwesirivha. Pazasi pane mucheka uri kubudikira une mitsetse yeruvara rwakachena nezvitema.
ID_CVLFSK,Eh awa na moni eza sapatu ya bana mibali.
ID_CWTEDX,Foto elakisi biso mwa zamba zamba oyo eza zamba moko ya monene mpenza pe na kati ya zamba oyo na moni mwa mwasi avandi na ye emonani aza koluka ba mwa biteni ya nzete po akende kolamba mwa bileyi na ye.
ID_CXBMDD,Tambo irikuonekwa yemagetsi yakagadzikwa pasi pamatairasi arikukwakwamuka ane ruvara rutsvuku neruvara rwebhurauni nemitsetse. Nechekumberi tambo yakabatanidzwa nemudziyo une ruvara ruchena.
ID_CXDLKZ,Awa nazo mona polisie na ye awa alati elamba alati elambanaye ya mosala na ekotine ya mosala na moni pe bapolisie mosusu bazokebazokende baza ebele.
ID_CXIQEJ,Shangu inopfekwa kurutivi rwekurudyi. Yakagadzikwa pasi ine ruvara rutsvuku uye imhando yematenesi. Kumberi kwayo kuchena payakagadzikwa pane mavara matema nepamwe pane madodzi Uyewo shangu yakadai inopfekwa vanhu vachiita zvemutambo kana kuti kuchitonhora. yakanakira kuti hainetsi kufamba nayo sezvo ine chitsitsinho chipfupi.
ID_CYCTUN,Varume vari munhandare yebhora varikuratidza kuti vari pamutambo wavo webhora uye bhora rakatsvetwa pasi pachiratidza kuti pane mumwe arikurikava vamwe varikuzama kurivharira kuti risandopinda mugedhe mavo. Vose vakapfeka zvikabudura.
ID_DAOMCB,Komichi yerudzi ruchena ine mubato mune derere riri mumvura riri mukati mekomichi iyi sipunu yakabatwa ikabudisa rimwe derere shoma. mvura yederere inoshandiswa nevamwe pakomwa uye derere rinobikwa rodyiswa sadza.
ID_DAXLAS,Kasi na liboso na ngana azomona eza mwasi mama ya mwasi alati bamateriel moko ondire ba bengaka tablier kasi ye mama yango alati tablie eza na lange ya bozinga asimbi mashine moko oyo mashine ya sudure.
ID_DCUADZ,Shangu dzechidzimai dzinonzi mabamusi ine dzitema uye dzine mukati muchena dzakanyorwa nezvichena mukati.
ID_DCXYVX,Photo na moni liboso na ngai eza photo y oyo banga na munoko ya poto logo logo wana eza bato ba komi chidepi et batima adrese telephonique awa bato ba salaka batongaka ba ndako nde na moni liboso na nga awa.
ID_DDGBXH,Motikari nhatu dzakamiswa pamberi pechivakwa uyezve dzakaiswa mukati memumvuri une denga rine ruvara rwebhuruu uyezve chivakwa chiripo chine ruvara rwemeruni nezvitinha rwekirimu.
ID_DDOTPI,Bato mibale ba fandi na kati ya ndako mwasi na mobali baza na katikati ya mafuta ya komipakola malasi mafuta ya nzoto na mafuta ya motu nyonso ya komi pakola biloko ya nzoto.
ID_DECRKT,Varume navakadzi vakamira vatatu vakachonjomara pasi. Vose vakapfeka zvakafanana. Vakapfeka zvichena kumusoro nemasiketi ejira rine mavara akasiyana anoti bhuruu namatsvuku. Varume vakaisa machira muhuro.
ID_DFEGFZ,Nzvimbo inoratidzika kuti mudhorobha. Parutivi pane misika umo mune vanhu vakawanda vari kuita mabasa avo okutengesa. Panewo munhurume mumwechete ari pachingoro chake amenozvari kubata bata mumabhokisi ake.
ID_DFKJAI,Ivhu rine makomba akacherwa. Makomba acho haana kunyanya kudzama. akacherwa achiitwa tumitsetse. Makomba aya anogona kushandiswa kusimiwa zvirimwa.
ID_DFSMMS,Liboso na biso to moni awa bazo lakisa biso eza mannequin ba latisi ye ba liputa bazo lakisa motindo nini liputa oyo batongaki yango.
ID_DGRVJT,Shangu dzine ruvara rwebhuruu Dzakagadzirwa nejira rejini. Dzine hiri yegireyi dzinopfekwa nevanhukadzi kana vanhurume. Dzakagadzikwa pamusoro pemataera ekirimu.
ID_DHVQIV,Nzvimbo iri muguta reharare. iyo ine migwagwa yakawanda mikuru ine dzimotokari dziri kufamba. Munewo vanhu vakawanda vamwe vakagara vamwewo vari kufamba vachienda pakatsaukana.
ID_DMJNOW,Shangu dzechikadzi mbiri dzakaita gogo dzigere panzvimbo ine mataira machena. Imwe yacho yakagara pamusoro peimwe. Dzine mabhande akasiyana akatenderedza shangu.
ID_DNCKDJ,Liboso na nga awa na moni mwana moko ya mobali atelemi amemi mwa eleko ya libende nsima na ye na moni ba biloko moko ya salite salite na mwa ndako oyo ya kala.
ID_DNJYJQ,Ba soda ba soda ba telemi ba lati elamba na bango ya kitoko mpenza elamba ya kisoda ba lati pe ba sapato ya moyindo ba lati pe ba mikaba ezali na langi ya shokola pe na ekoti ezali na langi ya motane ba mosusu baza na ekoti ya langi ya pondu mosusu moko ezali na ekoti ya langi ya moyindo.
ID_DNOWAN,Awa tozali komona baza kolakisa biso elamba moko ezali monene ezali lokola kitenge moko ya monene kasi ezali kitoko eza na ba lange ya bululu na mayi ya pondu tozali komona ezali kitoko.
ID_DPCENG,Musoro momunhu muduku mune vhudzi rakatsvukuruka iro rakati nyangarara. Mumativi makagerwa kusiya vhudzi rose rapera uyewo ganda richionekera.
ID_DPORVV,Na photo oyo nalikomona balakisinga eza sani ya pembe batiye yango likolo ya mesa sani oyo na moni mbisinamoni fufu pe na moni pondu na moni na pilipili.
ID_DQKDOH,Motokari inotakura zvinhu zvinorema. Pane mavhiri arikuoneka akakura ane ruvara rutema. Motokari yacho ine ruvara ruchena ruri kubudirira kumberi. Musoro wacho hausi kunyatsa kuoneka.
ID_DQNKGM,Na elili oyo nazo mona bazo lakisa biso moto na balabala azopusa brouet esika azoleka na balabala ezali na elili na mur ba komi soni labutanti.
ID_DRGIQX,Poto inobika yakabairirwa kumagetsi uye yakavharwa pamusoro payo ndeye sirivheri uye ihuru ine mubato mutema.
ID_DRMIBV,Na bilili oyo nali komona loboko ya ndeko moko asimbi kamwa bido na kati eza mafuta ya motuka wana ba bengi yango toyota.
ID_DRQDHR,Awa nazo mona bisi ezomema bato ya bis ya monene ya transport asi kuna nazo mona nzete ya monene ezali na matiti mingi.
